Nome_Fundo,Tipo,Valor
0,LCI,35866606.85
0,Outras Cotas de FI,185812864.35
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,375887086.04
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,125769258.27
AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1395630.63
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,112031970.66
AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FIP,37642194.08
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,7156706.32
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outros Ativos Financeiros,160160446.68
AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,1212067.33
ALIANZA TRUST RENDA IMOBILIARIA FII,Outras Cotas de FI,1527309.64
ALIANZA TRUST RENDA IMOBILIARIA FUNDO DE INVEST IMOBILIARIO,Outras Cotas de FI,1668325.62
AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,145493895.14
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,136734460.58
AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,533030071.61
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,9301573.44
ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,1089259757.48
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Outras Cotas de FI,221148.14
BANESTES RECEBIVEIS IMOBILIARIOS FII,CRI,438179274.58
BANESTES RECEBIVEIS IMOBILIARIOS FII,LCI,24266683.66
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,CRI,35481076.35
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,LCI,333677021.22
BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,CRI,337184866.53
BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,FII,23216021.48
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,CRI,409228869.86
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,FII,5860301.29
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,LCI,2116156.15
BB RENDA DE PAPÉIS IMOBILIÁRIOS II,CRI,67427365.64
BB RENDA DE PAPÉIS IMOBILIÁRIOS II,LCI,8738390.37
BIRD FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,7652238.18
BPG LOGÍSTICA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,9193086.52
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,36872047.82
BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outros Ativos Financeiros,56622071.75
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,CRI,20062543.13
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,FII,688262423.27
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,LCI,26038011.17
BRAZIL PROPERTIES FDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,931435.65
BRAZIL REAL ESTATE VICTORY FUND I - FII,Outras Cotas de FI,9629951.49
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Ações de Sociedades,867226135.74
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Cotas de Sociedades,70710460.98
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII,34419618.79
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,55414.18
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Ações de Sociedades,408782154.02
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Outros Ativos Financeiros,37803640.28
BRESCO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ações de Sociedades,2509745235.97
BRESCO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Cotas de Sociedades,456872200.93
BRESCO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,352507880.55
BRIO REAL ESTATE II,Ações de Sociedades,18899998.0
BRIO REAL ESTATE II,Outras Cotas de FI,151178996.96
BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Outras Cotas de FI,12155.31
BRL V FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,83151981.46
BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,849692.2
BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Outras Cotas de FI,2096294.33
BRPR 68  - FII DESENVOLVIMENTO II,Outras Cotas de FI,4497220.28
BRPR 68 FII DESENVOLVIMENTO,Outras Cotas de FI,4552251.49
BRPR 68 FUNDO DE INVEST IMOB - FII DESENVOLVIMENTO,Outras Cotas de FI,4442375.25
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Ações de Sociedades,192540434.76
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,CEPAC,17733942367.77
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,FII,334286.08
CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,Outras Cotas de FI,13766120.62
CAIXA RIO BRAVO FUNDO DE FII,FII,610487576.3
CAIXA RIO BRAVO FUNDO DE FII,LCI,18040511.76
CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIARIO,CRI,369720387.66
