Nome_Fundo,Nome_Ativo,Valor
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,615980936.48
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,552323722.09
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,630820357.33
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,559349216.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,104154353.92
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,362225060.69
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,574909921.38
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,117389036.8
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,183929261.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,495754595.76
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,96327998.71
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,219600844.88
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,214810681.61
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,222756288.55
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,223661870.39
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,228886033.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,235777298.38
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,239249607.64
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,252972924.46
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV,,0.0
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 121 - PASSOS DO PARQUE,289306.57
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 126 - PASSOS DO PARQUE,289306.57
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 141 - PASSOS DO PARQUE,289306.57
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Estanteria Pouso Alegre,565309.82
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Morumby (adquiridos em 12/07/2017),1703000.0
