CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
00.332.266/0001-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,0.0,7952423.16,inf
00.868.235/0001-08,FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,0.0,1739261.32,inf
01.201.140/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,0.0,8570529.24,inf
01.235.622/0001-61,OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,0.0,inf
01.235.622/0001-61,OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,-0.0,-inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,513383.15,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,1100288.02,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,435595.13,inf
01.497.954/0001-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,0.0,1283095.13,inf
01.601.918/0001-59,FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,0.0,7400000.0,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,3596526.15,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,6856835.9,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,4476915.85,inf
01.636.325/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,0.0,8590286.65,inf
01.657.856/0001-05,SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,199513.34,inf
02.508.235/0001-14,LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,0.0,4446000.0,inf
03.251.720/0001-18,FII PROJ AGUA BRANCA,0.0,1825871.61,inf
03.251.720/0001-18,FII PROJ AGUA BRANCA,0.0,3321804.55,inf
03.251.720/0001-18,FII PROJ AGUA BRANCA,0.0,2595062.29,inf
03.251.720/0001-18,FII PROJ AGUA BRANCA,0.0,5112402.57,inf
03.507.519/0001-59,FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,0.0,7855455.0,inf
03.683.056/0001-86,FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.0,10297039.05,inf
03.855.441/0001-63,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,0.0,2554314.24,inf
04.066.582/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,0.0,1529223.93,inf
04.066.582/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,0.0,3064451.22,inf
04.066.582/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,0.0,1572851.26,inf
04.066.582/0001-60,FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,0.0,3083365.6,inf
04.141.645/0001-03,FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0,3548321.9,inf
04.141.645/0001-03,FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0,7869819.0,inf
04.141.645/0001-03,FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0,4473370.8,inf
04.141.645/0001-03,FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,0.0,9512816.3,inf
04.722.883/0001-02,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,0.0,6211159.17,inf
04.722.883/0001-02,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,0.0,3266516.46,inf
04.722.883/0001-02,FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,0.0,5154571.52,inf
05.562.312/0001-02,FII EDIFICIO ALMIRANTE BARROSO,0.0,128301601.44,inf
06.175.262/0001-73,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,0.0,1239428.46,inf
06.175.262/0001-73,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,0.0,2501218.6,inf
06.175.262/0001-73,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,0.0,1270957.77,inf
06.175.262/0001-73,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,0.0,2274004.42,inf
