Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,1026273.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,300895.43
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,487738.28
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,856430.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,569584.13
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,569584.13
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,569584.13
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,569584.13
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5977.55
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5273.81
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5268.73
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,5525.7
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,298356.0
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,8618.07
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,5859.62
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,6070.89
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5546.84
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5672.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,5608.91
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,4570.35
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,892264.77
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,171876.13
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,613340.58
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,728114.68
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,401765.69
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,575154.79
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,399601.05
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,685021.08
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,-8153.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,1.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,3572.67
