Nome_Fundo,Percentual_Rentabilidade_Efetiva_Mes
BARZEL SP FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
BIRD FII - FII,0.0
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,0.0
BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.02
BTG PACTUAL AAA CORPORATE OFFICE FUND,0.0
BTG PACTUAL CORPORATE OFFICE FUND,0.0
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
BTG PACTUAL PRIME OFFICES I - FII,0.0
CAIXA RIO BRAVO FUNDO DE FII,0.01
CAIXA RIO BRAVO FUNDO DE FII II,0.01
CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
DOVEL FII,-0.01
FII BTG PACTUAL AAA CORPORATE OFFICE FUND,-0.0
FII BTG PACTUAL CORPORATE OFFICE FUND,-0.0
FII BTG PACTUAL PRIME OFFICES I,-0.0
FII BTG PACTUAL PRIME OFFICES I - FII,-0.0
FII MAUA PROPRIEDADES PARA INVESTIMENTO,0.06
FUNDO DE INVESTIMENTO IMOBILIARIO - FII BIOTIC,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,0.01
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SAI CORPORATE,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,-0.0
GTIS BRAZIL LOGISTICS FII,0.0
GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
IMMOB I  FII,-0.01
IMMOB I FUNDO DE INVESTIMENTOIMOBILIÁRIO - FII,0.07
IMMOB II  FII,-0.04
IMMOB III FUNDO DE INVESTIMENTO IMOBILIARIO - FII,-0.0
IMMOB III FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
IMMOB IV BRAGANÇA FI IMOBILIARIO,0.06
IMMOB V DESENVOLVIMENTO FII,0.0
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.01
JPP FII,0.01
KINEA RENDA IMOBILIARIA FII,0.01
OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.05
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.0
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,0.01
PETROS FUNDO DE INVESTIMENTO IMOBILIARIO FII,0.03
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.58
POXIM FUNDO DE INVESTIMENTO IMOBILIARIO,-0.0
PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,-0.01
RB CAPITAL PETROS FII,0.0
RIO BRAVO RENDA RESIDENCIAL FII,0.02
