Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
*135446,,
*138387,,
*138569,,
*138591,,
*140648,,
*140954,,
*141629,,
*143192,,
*1433963,,
*1454735,,
*146038,,
*147430,,
*150058,,
*1530250,,
*1530906,,
*1532019,,
*155606,,
*155740,,
*1572092,,
*1575808,,
*157645,,
*1584430,,
*1585597,,
*1586416,,
*1586730,,
*1589178,,
*159436,,
*159945,,
*1602227,,
*1603160,,
*1609091,,
*1610954,,
*1613943,,
*1630522,,
*1643945,,
*1645259,,
*1650045,,
*1652347,,
*1664814,,
*166870,,
*1671064,,
*185484,,
*198449,,
*204403,,
*204607,,
*206931,,
*2073247,,
*2080383,,
*208404,,
*208408,,
*208428,,
*208436,,
*208438,,
*208444,,
*208458,,
*208482,,
*2085026,,
*209008,,
*2103725,,
*2105960,,
*210664,,
*2109179,,
*2112246,,
*211777,,
*212110,,
*2121903,,
*2127606,,
*2127829,,
*2133096,,
*2137837,,
*214656,,
*214821,,
*215249,,
*215273,,
*2154152,,
*2160141,,
*216255,,
*216353,,
*216574,,
*217064,,
*2171444,,
*2176943,,
*2178311,,
*2180056,,
*2182515,,
*2183745,,
*2188315,,
*2191925,,
*2197464,,
*2197680,,
*2205057,,
*220816,,
*2213457,,
*2233227,,
*2235568,,
*2239794,,
*2249564,,
*2251632,,
*2254519,,
*2257639,,
*226075,,
*2277009,,
*2283358,,
*2289589,,
*230492,,
*230640,,
*230716,,
*2321202,,
*232687,,
*234985,,
*2366751,,
*2366754,,
*2366855,,
*2366875,,
*2374936,,
*239949,,
*240032,,
*2404318,,
*242717,,
*245809,,
*2459453,,
*2460539,,
*255328,,
*257814,,
*257881,,
*260326,,
*265510,,
*274575,,
*275385,,
*275628,,
*278203,,
*279237,,
*279558,,
*279995,,
*287343,,
*2890215,,
*2896367,,
*289761,,
*290253,,
*2905784,,
*2915775,,
*2915988,,
*2916271,,
*2916286,,
*294969,,
*295747,,
*295804,,
*2986558,,
*2991451,,
*2992718,,
*3014702,,
*3031279,,
*3035416,,
*3039758,,
*3044065,,
*3044072,,
*3044442,,
*3067629,,
*307518,,
*311150,,
*311315,,
*3156394,,
*3157701,,
*3160654,,
*3167518,,
*3171767,,
*3172494,,
*3173274,,
*3176397,,
*3176868,,
*3178488,,
*3179600,,
*3179915,,
*318901,,
*319201,,
*322658,,
*322888,,
*330451,,
*332442,,
